Food Item,Aldi Price,Walmart Price,Publix Price
Milk,3.29,3.69,3.49
Eggs,2.79,2.49,2.99
Bread,1.29,1.5,1.79
Chicken,2.99,3.49,3.99
Apples,1.89,1.69,1.79
Bananas,0.59,0.49,0.69
Rice,4.99,4.49,4.79
Pasta,1.25,1,1.5
Beef,4.49,5.99,5.49
Orange Juice,2.79,2.99,3.49
Cheese,2.29,2.5,2.99
Cereal,2,3,2.5
Potatoes,4.49,4.99,5.49
Frozen Vegetables,1.29,1.5,1.79
Peanut Butter,1.99,2.19,2.49
Yogurt,3.49,3.29,3.99
Sugar,2.79,2.49,2.99
Flour,3,3.25,3.5
Olive Oil,4.29,4.99,4.49
Coffee,4.99,5.49,5.99
Chicken Thighs,2.99,2.49,3.49
Fish Fillets,7.99,8.49,8.99
Tortillas,1.5,1.75,2
Chips,2.5,2.99,3.49
Ice Cream,4.49,3.49,4.99
